1boy, male focus, joseph joestar, jojo no kimyou na bouken
1boy, male focus, kujo jotaro, jojo no kimyou na bouken
1boy, male focus, joseph joestar \(young\), jojo no kimyou na bouken
1boy, male focus, cloud strife, final fantasy
1boy, male focus, dio brando, jojo no kimyou na bouken
1boy, male focus, caesar anthonio zeppeli, jojo no kimyou na bouken
1boy, male focus, komaeda nagito, danganronpa \(series\)
1boy, male focus, oma kokichi, danganronpa \(series\)
1boy, male focus, midoriya izuku, boku no hero academia
1boy, male focus, son goku, dragon ball
1boy, male focus, hinata hajime, danganronpa \(series\)
1boy, male focus, ikari shinji, neon genesis evangelion
1boy, male focus, saihara shuichi, danganronpa \(series\)
1boy, male focus, narukami yuu, persona
1boy, male focus, kakyoin noriaki, jojo no kimyou na bouken
1boy, male focus, denji \(chainsaw man\), chainsaw man
1boy, male focus, giorno giovanna, jojo no kimyou na bouken
1boy, male focus, jonathan joestar, jojo no kimyou na bouken
1boy, male focus, bakugou katsuki, boku no hero academia
1boy, male focus, gojou satoru, jujutsu kaisen
1boy, male focus, kirito, sword art online
1boy, male focus, uzumaki naruto, naruto \(series\)
1boy, male focus, monkey d. luffy, one piece
1boy, male focus, higashikata josuke, jojo no kimyou na bouken
1boy, male focus, roronoa zoro, one piece
1boy, male focus, lelouch vi britannia, code geass
1boy, male focus, amamiya ren, persona
1boy, male focus, nagisa kaworu, neon genesis evangelion
1boy, male focus, twilight \(spy x family\), spy x family
1boy, male focus, eren yeager, shingeki no kyojin
1boy, male focus, yuuki makoto \(persona 3\), persona
1boy, uchiha sasuke, naruto \(series\)
1boy, male focus, itadori yuuji, jujutsu kaisen
1boy, male focus, fushiguro megumi, jujutsu kaisen
1boy, male focus, sanji \(one piece\), one piece
1boy, male focus, satou kazuma, kono subarashii sekai ni shukufuku wo!
1boy, male focus, vegeta, dragon ball
1boy, male focus, endeavor \(boku no hero academia\), boku no hero academia
1boy, male focus, johnny joestar, jojo no kimyou na bouken
1boy, male focus, 9s \(nier:automata\), nier \(series\)
1boy, male focus, levi \(shingeki no kyojin\), shingeki no kyojin
1boy, male focus, hanamura yousuke, persona
1boy, male focus, hiro \(darling in the franxx\), darling in the franxx
1boy, male focus, hayakawa aki, chainsaw man
1boy, male focus, todoroki shouto, boku no hero academia
1boy, male focus, trafalgar law, one piece
1boy, male focus, kishibe rohan, jojo no kimyou na bouken
1boy, male focus, naegi makoto, danganronpa \(series\)
1boy, male focus, edward elric, fullmetal alchemist
1boy, male focus, byleth \(male\) \(fire emblem\), fire emblem
1boy, male focus, gamagoori ira, kill la kill
1boy, male focus, oreki houtarou, hyouka
1boy, male focus, nanami kento, jujutsu kaisen
1boy, male focus, jean pierre polnareff, jojo no kimyou na bouken
1boy, male focus, kamado tanjirou, kimetsu no yaiba
1boy, male focus, sephiroth, final fantasy
1boy, male focus, hawks \(boku no hero academia\), boku no hero academia
1boy, male focus, bruno bucciarati, jojo no kimyou na bouken
1boy, male focus, natsuki subaru, re:zero kara hajimeru isekai seikatsu
1boy, male focus, robin \(male\) \(fire emblem\), fire emblem
1boy, male focus, tatsumi kanji, persona
1boy, male focus, joseph joestar \(old\), jojo no kimyou na bouken
1boy, male focus, rex \(xenoblade\), xenoblade chronicles \(series\)
1boy, male focus, getou suguru, jujutsu kaisen
1boy, male focus, son gohan, dragon ball
1boy, male focus, reiner braun, shingeki no kyojin
1boy, male focus, ike \(fire emblem\), fire emblem
1boy, male focus, momota kaito, danganronpa \(series\)
1boy, male focus, araragi koyomi, monogatari \(series\)
1boy, male focus, kuma \(persona 4\), persona
1boy, male focus, gyro zeppeli, jojo no kimyou na bouken
